lat,lon,category,label
45.4227,-111.3800,insects,Insect damage
38.5086,-79.1269,insects,Insect damage
35.6761,-94.9248,fire,Ground fire
38.6911,-82.6857,insects,Insect damage
42.7403,-121.3931,disease,Disease damage to trees
37.4201,-91.0544,insects,Insect damage
39.8727,-79.8897,vegetation,Vegetation (competition/vines)
40.5936,-81.9005,insects,Insect damage to trees
42.4061,-78.3096,other,Human-induced
34.9724,-83.5734,insects,Insect damage to trees
44.1109,-103.5675,animal,Domestic animal/livestock
37.9837,-93.0875,fire,Ground fire
36.3129,-80.3958,weather,Weather damage
33.8474,-94.5522,other,Human-induced
29.9059,-84.3430,fire,Ground fire
47.2154,-120.2960,disease,Disease damage to trees
43.1397,-71.2131,disease,Disease damage
45.4256,-111.8366,insects,Insect damage to trees
46.4629,-114.9400,fire,Ground fire
48.2230,-95.4931,animal,Beaver
36.1039,-95.0761,weather,Ice
42.2853,-77.8586,disease,Disease damage to trees
45.7306,-68.5345,disease,Disease damage
31.6837,-86.1226,disease,Disease damage
36.0657,-84.8128,insects,Insect damage
38.8948,-90.6543,weather,Flooding
33.5706,-81.8374,fire,Ground fire
48.8230,-121.9110,geologic,Avalanche
29.7319,-100.7862,weather,Weather damage
46.1966,-91.6386,animal,Deer/ungulate
39.0324,-79.0398,animal,Domestic animal/livestock
30.8451,-82.8029,disease,Disease damage to trees
34.8850,-111.2241,disease,Disease damage
37.0076,-92.8867,animal,Domestic animal/livestock
31.8585,-110.2045,insects,Insect damage to trees
40.2003,-99.5528,fire,Ground fire
34.7432,-83.6005,insects,Insect damage to trees
30.2035,-84.5110,fire,Ground fire
36.9001,-91.2404,weather,Wind/hurricane/tornado
